pendulum_angle,angular_velocity,cart_velocity,cart_position
-1.57,-4.865442752838135,0.6948798298835754,0
-1.413,-4.499394416809082,0.705934464931488,0
-1.256,-4.0185160636901855,0.6594039797782898,0
-1.0990000000000002,-3.618114948272705,0.761775553226471,0
-0.9420000000000001,-3.114002227783203,0.6547835469245911,0
-0.785,-2.6407530307769775,0.5503201484680176,0
-0.6280000000000001,-2.1837034225463867,0.6875912547111511,0
-0.4710000000000001,-1.7306417226791382,0.5070486068725586,0
-0.31400000000000006,-1.2083905935287476,0.4261740446090698,0
-0.15700000000000003,-0.6895589232444763,0.3527038097381592,0
0.0,0.006224155891686678,-0.023491885513067245,0
0.15700000000000003,0.7153058052062988,-0.3421776294708252,0
0.31399999999999983,1.2195463180541992,-0.4515494406223297,0
0.47099999999999986,1.7240259647369385,-0.5549397468566895,0
0.6279999999999999,2.1905250549316406,-0.650713324546814,0
0.7849999999999999,2.689281463623047,-0.637872040271759,0
0.942,3.127568244934082,-0.740513265132904,0
1.099,3.557713270187378,-0.4888771176338196,0
1.256,4.019434928894043,-0.6730339527130127,0
1.413,4.497790813446045,-0.6187201738357544,0
1.57,4.907354354858398,-0.7929680943489075,0
