cart_position,cart_velocity,pend_angle,angular_velo
0.0,0.42557069659233093,-0.03681112080812454,-0.6091523766517639
0.0,0.1431085616350174,0.030367357656359673,-0.1671854555606842
0.0,-0.31536003947257996,-0.11579468846321106,0.06388988345861435
0.0,0.41357672214508057,0.02780541405081749,-0.4429089426994324
0.0,-0.0588136725127697,0.02778257429599762,0.115899957716465
0.0,0.46101894974708557,0.13072527945041656,0.002010136842727661
0.0,0.5261267423629761,-0.3602294921875,-1.4190553426742554
0.0,0.11833878606557846,-0.10551080107688904,-0.36307278275489807
0.0,-0.048555195331573486,0.007714919280260801,0.09348564594984055
0.0,-0.2547355592250824,0.0859796330332756,0.4462777376174927
