pend_angle,angular_velo
-0.0832444503903389,-0.19068287312984467
0.002538634929805994,0.04228009656071663
0.257503479719162,1.689894437789917
0.018189359456300735,0.04998491704463959
0.11630105972290039,0.8357037305831909
-0.06939428299665451,-0.09186471998691559
0.04903195798397064,0.41498035192489624
0.1395592987537384,1.387150526046753
-0.03035641275346279,-0.6071591973304749
0.10642129182815552,0.109786756336689
0.18880873918533325,1.2154974937438965
-0.054899975657463074,-0.20887663960456848
-0.033620685338974,0.10250189900398254
-0.183951273560524,-0.29353368282318115
-0.039023369550704956,-0.5249732136726379
-0.08757788687944412,-0.4976970851421356
0.030558748170733452,0.36810579895973206
0.10646316409111023,0.2065119445323944
-0.13073548674583435,-0.24803145229816437
-0.11320424824953079,-0.8302072286605835
0.062148258090019226,0.6713333129882812
0.036475103348493576,0.13090696930885315
0.0995076447725296,0.1496959924697876
0.09879414737224579,0.6853076815605164
0.1446431577205658,0.49379870295524597
0.1574508547782898,0.5177412033081055
0.047899436205625534,-0.463991641998291
-0.03055071458220482,-0.27164921164512634
0.08365330845117569,0.4931037425994873
-0.09706642478704453,-0.5622339844703674
0.23192109167575836,0.6838977336883545
-0.057043593376874924,0.08555340766906738
0.09814219176769257,0.658094584941864
0.06664791703224182,0.3409910202026367
0.20255205035209656,0.8232643604278564
0.03105660155415535,0.03417813032865524
-0.03465414047241211,-0.20249786972999573
-0.07062716782093048,-0.3466716408729553
-0.060700979083776474,-0.599571704864502
0.17249640822410583,1.2412689924240112
-0.3609040379524231,-1.0891389846801758
0.054982759058475494,0.17274664342403412
-0.14644508063793182,-0.6329007148742676
0.019646067172288895,0.13280591368675232
0.05142559856176376,0.14181749522686005
0.07457159459590912,0.398124098777771
-0.04033246263861656,-0.48874419927597046
0.009765096940100193,0.08400249481201172
-0.015064921230077744,-0.07316755503416061
-0.083440400660038,-0.21884216368198395
