pend_angle,angular_velo
-0.2491819364711696,-1.03969144821167
0.29313585289603306,1.171433925628662
-0.7927706994579888,-2.8288872241973877
-0.15516513703055845,-0.6286288499832153
-0.792702665837805,-2.8288872241973877
0.03423041139701355,0.2019251435995102
-0.7299236721782264,-2.5208077430725098
-0.31239641977537036,-1.1036726236343384
-0.3765789957649015,-1.351331114768982
-0.052472700111845016,-0.3183714747428894
-0.4659867655826492,-1.747211217880249
-0.9422500071002542,-2.9302170276641846
-0.8530567780591503,-2.9057230949401855
-0.19491276112900646,-0.849871814250946
-0.4508657355401271,-1.589108943939209
-0.8684250574199771,-2.900261163711548
-0.6376293007293194,-2.1122496128082275
-0.48120078759588103,-1.7359672784805298
0.3843826104227386,1.4022765159606934
0.16354547150441934,0.6824591159820557
-0.35303988952633014,-1.330140471458435
-0.4055491386846525,-1.5437480211257935
-0.4899231365155604,-1.8108445405960083
0.7170951546665152,2.3685150146484375
0.29145787016619074,1.133196234703064
-0.9502409373632237,-3.170959234237671
-0.3060514360606399,-1.146358609199524
-0.7164080688412131,-2.433621406555176
-0.980992690929092,-3.253910779953003
-0.7514861714766721,-2.728849411010742
-0.6412475192975793,-2.13268780708313
-0.5426479181154963,-1.8353625535964966
0.18713455685528912,0.7642552852630615
-0.21801169697300193,-0.8664544224739075
-0.37790153076688837,-1.4409687519073486
0.3734712549936532,1.505021333694458
-0.6901495343866524,-2.5259499549865723
-0.6617577506108842,-2.2894484996795654
-0.7371182410776622,-2.6535680294036865
-0.7573761117085748,-2.6375362873077393
-0.8409910757572228,-2.8010945320129395
0.18365578617081413,0.7683144211769104
-0.7253807399333011,-2.544194459915161
-0.7022893552406617,-2.347665309906006
0.3552017901922382,1.351621389389038
-0.4708466322516094,-1.7502280473709106
-0.29576188541021997,-1.0538251399993896
-0.39785655309334367,-1.3741775751113892
-0.004686513575808737,-0.024414701387286186
-0.9869381270530261,-3.3774025440216064
