pendulum_angle,angular_velocity,cart_velocity,cart_position
-1.5663559856956006,-4.883497714996338,0.6064515113830566,0
-1.5109592362168724,-4.656473636627197,0.4731103777885437,0
-1.2705617414771284,-4.064517498016357,0.639851987361908,0
-1.277757713446829,-4.092405319213867,0.6567354202270508,0
-1.1421169797103736,-3.7372922897338867,0.7028412222862244,0
-1.2052472766622047,-3.9138078689575195,0.7372132539749146,0
-1.0283233161156167,-3.4234933853149414,0.70285564661026,0
-0.975982409620148,-3.2774248123168945,0.5598743557929993,0
-0.8758930732814005,-3.0027971267700195,0.5821933746337891,0
-0.9345046379900845,-3.1595375537872314,0.7483920454978943,0
-0.630289843245814,-2.214432716369629,0.5372180938720703,0
-0.7004022200732659,-2.411895990371704,0.6636254787445068,0
-0.5457417257024242,-1.9295248985290527,0.5510269403457642,0
-0.5767741923829499,-2.0769472122192383,0.6056399345397949,0
-0.4137011106231206,-1.5087577104568481,0.5372461080551147,0
-0.3159666780396588,-1.1615979671478271,0.3785739243030548,0
-0.29524689221835093,-1.1469686031341553,0.4916025996208191,0
-0.17451609629426384,-0.7599215507507324,0.3700508177280426,0
-0.03265794067144112,-0.19814002513885498,0.1105431467294693,0
-0.01332439244198963,-0.1102951169013977,0.06689492613077164,0
0.1515819048635377,0.6587603688240051,-0.28112587332725525,0
0.11918762224364023,0.5634396076202393,-0.23942644894123077,0
0.23768824998468377,0.945704996585846,-0.37457165122032166,0
0.21884565249352186,0.9113854765892029,-0.38036882877349854,0
0.37968843593868856,1.4132890701293945,-0.48031413555145264,0
0.3773110242748394,1.4011902809143066,-0.44014832377433777,0
0.5334928132304673,1.9075261354446411,-0.5396339893341064,0
0.5908814994718852,2.1026837825775146,-0.57087641954422,0
0.7649440134623866,2.638577461242676,-0.6243740916252136,0
0.7759841478016073,2.603644609451294,-0.662833034992218,0
0.826884429509597,2.793513536453247,-0.613982617855072,0
0.89500704514932,3.025820732116699,-0.5664356350898743,0
0.9488899996888888,3.2006478309631348,-0.7838520407676697,0
1.0158800930402523,3.4552550315856934,-0.617665708065033,0
1.1204306834545048,3.6324310302734375,-0.7171662449836731,0
1.1364121969537824,3.738680601119995,-0.6936467289924622,0
1.3907183435336896,4.396441459655762,-0.684138298034668,0
1.316224646937628,4.170646667480469,-0.5407472252845764,0
1.525081363195779,4.773397445678711,-0.8234015107154846,0
1.516815896120945,4.6816511154174805,-0.5344312787055969,0
